region,founder,university,admission_type,college,department,quota,applicants,rate,deadline_day,deadline_time,rate_asof,rate_until,rate_notice
충북,사립,청주대학교,정원외 특성화고졸업재직자전형,청암학부,한국어교육과 / 한국어를 모국어로 사용하지 않는 외국인 및 재외동포를 대상으로 외국어로서의 한국어를 가르칠 수 있는 인재의 양성을 목표로 하는 학과(한국어 교원 2급 자격증 취득 가능),80,2,0.03,9.11.(금),21:00,09-10 12:00,9/11 15:00,경쟁률 서비스는 2026. 09. 11.(금) 15시까지 제공합니다. / 접수마감 : 2026년 09월 11일 (금) 21:00까지. 전형별 경쟁률 현황
경기,국립,국립한국교통대학교(의왕),평생학습자전형Ⅲ,,스포츠복지학과(야),21,1,0.05,9.11.(금),18:00,09-10 12:00,,
충북,국립,국립한국교통대학교(충주증평),평생학습자전형Ⅲ,,스포츠복지학과(야),21,1,0.05,9.11.(금),18:00,09-10 12:00,,
충북,사립,우석대학교(진천),학생부교과_성인학습자등,글로컬 라이프대학,글로컬라이프 자율전공학부(진천) / 소방산업안전학과 창업컨설팅학과 AI융합심리치유학과,81,5,0.06,9.11.(금),18:00,09-10 12:00,,
충북,사립,극동대학교,정원 외 학생부교과 기회균형전형(정원 외),,"글로벌융합학부(경영서비스, 과학기술, K컬처)",15,1,0.07,9.11.(금),17:00,09-10 12:00,9/11 16:30,경쟁률 서비스는 2026년 09월 11일(금) 16:30 까지 제공됩니다. 전형별 경쟁률 현황 전형별 경쟁률 현황 구분 총모집인원 지원인원 경쟁률 일반학생전형(면접) 213 775 3.64 : 1 교과우수자전형 382 600 1.57 : 1 기회균형전형(정원 내) 5 4 0.80 : 1
충북,사립,건국대학교(글로컬),[학생부교과] 만학도(정원외),KU글로컬혁신대학,라이프설계융합학과,35,3,0.09,9.11.(금),19:00,09-10 12:00,9/11 15:00,경쟁률은 원서접수 마감일 15시까지 제공됩니다.
경기,사립,대진대학교,학생부교과(특성화고졸재직자전형-정원외) - 교과100%,-,휴먼케어평생교육학과(야),11,1,0.09,9.11.(금),18:00,09-10 12:00,9/11 12:00,경쟁률은 접수 마감일[2026년 9월 11일(금)] 12시까지 공지합니다
충남,사립,유원대학교(아산),유원면접,,창의설계학부,29,3,0.1,9.11.(금),22:00,09-10 12:00,9/11 21:00,경쟁률은 9월 11일 21시까지 공개됩니다.
충북,사립,유원대학교(영동),유원면접,,창의설계학부,29,3,0.1,9.11.(금),22:00,09-10 12:00,9/11 21:00,경쟁률은 9월 11일 21시까지 공개됩니다.
충북,사립,극동대학교,정원 외 학생부교과 특성화고 동일계전형(정원 외),,"사회복지학부(사회복지, 재활상담치료, 안경광학, 상담복지)",9,1,0.11,9.11.(금),17:00,09-10 12:00,9/11 16:30,경쟁률 서비스는 2026년 09월 11일(금) 16:30 까지 제공됩니다. 전형별 경쟁률 현황 전형별 경쟁률 현황 구분 총모집인원 지원인원 경쟁률 일반학생전형(면접) 213 775 3.64 : 1 교과우수자전형 382 600 1.57 : 1 기회균형전형(정원 내) 5 4 0.80 : 1
충북,사립,극동대학교,정원 외 학생부교과 농어촌학생전형(정원 외),,"사회복지학부(사회복지, 재활상담치료, 안경광학, 상담복지)",9,1,0.11,9.11.(금),17:00,09-10 12:00,9/11 16:30,경쟁률 서비스는 2026년 09월 11일(금) 16:30 까지 제공됩니다. 전형별 경쟁률 현황 전형별 경쟁률 현황 구분 총모집인원 지원인원 경쟁률 일반학생전형(면접) 213 775 3.64 : 1 교과우수자전형 382 600 1.57 : 1 기회균형전형(정원 내) 5 4 0.80 : 1
대전,사립,한국침례신학대학교,기독교인전형,,기독교문화학과 크리스천커뮤니케이션전공,40,5,0.13,9.11.(금),18:00,09-10 12:05,9/11 17:00,경쟁률 서비스는 11일(금) 오후 5시까지 제공합니다.
충남,사립,금강대학교,기회균형특별전형,,"프라마나학부 | 불교학전공, 행정학전공, 경영학전공, 사회복지학전공, 프라마나전공",8,1,0.13,9.11.(금),20:00,09-10 11:00,9/11 17:00,"경쟁률 서비스는 11일 17시까지 제공합니다. / 접수마감 : 2026년 09월 11일(금) 20:00까지. 일반전형 경쟁률 현황 일반전형 모집단위 모집인원 지원인원 경쟁률 프라마나학부 | 불교학전공, 행정학전공, 경영학전공, 사회복지학전공, 프라마나전공 40 12 0.30 : 1 불교문화학부 | 불교미술전공, 불교음악전공, 불교문화콘"
충남,사립,유원대학교(아산),장애인 등 대상자,,사회복지학부,8,1,0.13,9.11.(금),22:00,09-10 12:00,9/11 21:00,경쟁률은 9월 11일 21시까지 공개됩니다.
충북,사립,유원대학교(영동),장애인 등 대상자,,사회복지학부,8,1,0.13,9.11.(금),22:00,09-10 12:00,9/11 21:00,경쟁률은 9월 11일 21시까지 공개됩니다.
충북,사립,건국대학교(글로컬),[학생부교과] 만학도(정원외),KU글로컬혁신대학,첨단산업융합학과,35,5,0.14,9.11.(금),19:00,09-10 12:00,9/11 15:00,경쟁률은 원서접수 마감일 15시까지 제공됩니다.
